area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
67,4,2,3,1,0,0,0,1,2,1,0,13300000
76,4,4,4,1,0,0,0,1,3,0,0,12250000
78,3,2,2,1,0,1,0,0,2,1,1,12250000
68,4,2,2,1,0,1,0,1,3,1,0,12215000
67,4,1,2,1,1,1,0,1,2,0,0,11410000
68,3,3,1,1,0,1,0,1,2,1,1,10850000
74,4,3,4,1,0,0,0,1,2,1,1,10150000
2,5,3,2,1,0,0,0,0,0,0,2,10150000
70,4,1,2,1,1,1,0,1,2,1,0,9870000
54,3,2,4,1,0,0,0,1,1,1,2,9800000
0,4,2,3,1,1,0,0,1,2,0,1,9800000
65,4,2,2,1,0,1,0,1,2,1,0,9681000
62,4,2,2,1,0,0,0,1,3,1,0,9310000
77,4,2,1,1,0,1,0,1,2,0,1,9240000
53,4,2,2,1,0,0,0,1,1,1,1,9240000
66,4,2,2,1,1,0,0,1,3,0,1,9100000
68,4,2,2,1,0,0,0,1,2,1,0,8960000
73,4,4,2,1,0,0,0,0,2,0,0,8890000
72,4,3,2,1,0,1,0,1,1,1,1,8855000
56,3,2,2,1,0,1,0,1,2,1,0,8750000
67,4,1,2,1,0,0,0,1,2,0,0,8680000
72,3,2,4,1,0,0,0,1,2,0,0,8645000
59,3,2,2,1,0,1,0,0,2,0,2,8575000
56,4,2,2,1,0,0,0,1,1,1,1,8540000
56,3,4,2,1,0,0,0,1,1,0,0,8463000
61,3,2,2,1,1,0,0,1,1,1,0,8400000
53,3,2,2,1,1,0,0,0,2,0,0,8400000
58,3,2,1,1,0,0,0,1,2,1,0,8400000
69,3,3,2,1,0,0,0,1,2,0,1,8400000
52,3,2,2,1,0,1,0,1,1,1,0,8316000
56,3,2,1,1,0,1,0,1,2,0,0,8288000
56,4,2,2,1,0,0,0,1,1,1,0,8120000
63,4,2,2,1,0,0,0,1,2,1,1,8080000
71,4,2,2,1,0,0,0,0,2,0,2,7980000
62,3,2,2,1,0,0,0,1,3,1,0,7962000
57,3,1,2,1,0,0,0,1,2,0,1,7910000
53,3,2,2,1,0,1,0,1,2,1,0,7875000
32,2,1,1,1,0,0,0,1,2,0,0,7840000
60,4,2,2,1,0,1,0,1,2,1,0,7700000
56,3,2,1,1,0,1,0,1,2,1,0,7560000
52,3,3,2,1,0,0,0,1,2,1,0,7560000
39,2,1,1,1,0,0,0,1,2,0,1,7350000
57,3,1,2,1,0,0,0,1,2,1,1,7350000
